,Word,Classification
0,mhm,i
1,yes,i
2,yeah,i
3,yeah,i
4,oh,i
5,oh,i
6,no,i
7,mhm,i
8,yes,i
9,come,v
10,see,v
11,think,v
12,took,v
13,think,v
14,think,v
15,got,v
16,get,v
17,pushing,v
18,think,v
19,is,v
20,is,v
21,is,v
22,got,v
23,say,v
24,is,v
25,make,v
26,stop,v
27,stop,v
28,will,v
29,stop,v
30,stop,v
31,put,v
32,want,v
33,started,v
34,play,v
35,play,v
36,have,v
37,keep,v
38,wanted,v
39,do,v
40,and,c
41,and,c
42,and,c
43,because,c
44,and,c
45,but,c
46,because,c
47,and,c
48,and,c
49,and,c
50,and,c
51,it,n
52,bus,n
53,bus,n
54,bus,n
55,it,n
56,one,n
57,outside,n
58,that,n
59,one,n
60,one,n
61,bus,n
62,we,n
63,one,n
64,me,n
65,lorry,n
66,cars,n
67,there,n
68,one,n
69,there,n
70,one,n
71,there,n
72,it,n
73,that,n
74,toy,n
75,it,n
76,Nina,n
77,teddy,n
78,fire_engine,n
79,nenaw,n
80,I,n
81,nenaw,n
82,that,n
83,lights,n
84,it,n
85,one,n
86,car,n
87,it,n
88,it,n
89,make,v
90,it,n
91,it,n
92,I,n
93,it,n
94,now,n
95,Mummy,n
96,it,n
97,cars,n
98,I,n
99,it,n
100,cars,n
101,Nina,n
102,this,n
103,one,n
104,it,n
105,there,n
106,I,n
107,I,n
108,smashed,aj
109,big,aj
110,smashed,aj
111,smashed,aj
112,broke,aj
113,broke,aj
114,smashed,aj
115,another,aj
116,like,ad
117,favorite,aj
118,on,ad
119,on,ad
120,late,aj
121,lots,aj
122,lots,aj
123,lots,aj
124,other,aj
125,new,aj
126,my,d
127,my,d
128,that,d
129,that,d
130,that,d
131,my,d
132,that,d
133,that,d
134,my,d
135,her,d
136,that,d
137,our,d
138,my,d
139,my,d
140,not,neg
141,not,neg
142,to,p
143,on,p
144,on,p
145,with,p
146,in,p
147,like,ad
148,too,ad
149,down,ad
150,down,ad
151,off,ad
152,again,ad
153,again,ad
154,just,ad
155,again,ad
156,again,ad
157,that's,nv
158,I'm,nv
159,hafta,vp
160,gonna,vp
